roNOG	ENOG41195IY	3	3	O	10141.ENSCPOP00000011033,10090.ENSMUSP00000042590,10116.ENSRNOP00000042447
roNOG	ENOG41195IT	3	3	Z	10090.ENSMUSP00000103039,10020.ENSDORP00000006526,10116.ENSRNOP00000046297
roNOG	ENOG41195IW	5	4	S	10020.ENSDORP00000002638,43179.ENSSTOP00000017624,10116.ENSRNOP00000022997,43179.ENSSTOP00000015722,10090.ENSMUSP00000054177
roNOG	ENOG41195IV	3	3	T	10116.ENSRNOP00000008798,10090.ENSMUSP00000098434,10141.ENSCPOP00000018548
roNOG	ENOG41195IQ	2	2	W	10141.ENSCPOP00000011831,43179.ENSSTOP00000000344
roNOG	ENOG41195IP	3	3	O	10141.ENSCPOP00000006055,10090.ENSMUSP00000076336,10116.ENSRNOP00000015474
roNOG	ENOG41195IS	4	4	O	43179.ENSSTOP00000023500,10090.ENSMUSP00000021040,10116.ENSRNOP00000009944,10141.ENSCPOP00000002539
roNOG	ENOG41195IR	7	3	T	10116.ENSRNOP00000041825,10090.ENSMUSP00000080828,10116.ENSRNOP00000065088,43179.ENSSTOP00000016175,43179.ENSSTOP00000019721,10090.ENSMUSP00000079522,43179.ENSSTOP00000021476
roNOG	ENOG41195IM	4	4	O	10116.ENSRNOP00000003339,43179.ENSSTOP00000006270,10020.ENSDORP00000010090,10090.ENSMUSP00000104836
roNOG	ENOG41195II	3	3	S	10141.ENSCPOP00000018632,10090.ENSMUSP00000049003,43179.ENSSTOP00000022617
roNOG	ENOG41195IE	5	5	P	10090.ENSMUSP00000102776,10020.ENSDORP00000014504,43179.ENSSTOP00000014952,10141.ENSCPOP00000008980,10116.ENSRNOP00000010827
roNOG	ENOG41195ID	4	4	T	10116.ENSRNOP00000003125,10020.ENSDORP00000007191,10090.ENSMUSP00000071836,10141.ENSCPOP00000007934
roNOG	ENOG41195IF	7	3	K	10090.ENSMUSP00000034720,10116.ENSRNOP00000064932,10116.ENSRNOP00000038976,10116.ENSRNOP00000065670,10116.ENSRNOP00000054052,43179.ENSSTOP00000016190,43179.ENSSTOP00000017983
roNOG	ENOG41195IA	3	3	K	10090.ENSMUSP00000039566,10116.ENSRNOP00000034133,10141.ENSCPOP00000000470
